TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
-5.620134714716212,-0.1466655958283126,-16.906583135784484,-12.19559263121742,-16.906583135784484,-13.035392779267678,-16.906583135784484,-16.54898213632585,-16.906583135784484,-12.286581933236258,-16.13100333094313,-14.291226755821063
-18.965238939730725,-10.127214883623154,-18.965238939730725,-16.179743665291454,-22.845801511407558,-12.240852518686644,-22.845801511407558,-12.595886882973906,-17.324070573374826,-14.268449945499757,-28.390422335414442,-19.188657007708507
-14.504893853458032,-3.3419352642696767,-14.504893853458032,-12.238662448848318,-14.504893853458032,-11.88607229908428,-14.504893853458032,-16.791113873930318,-14.504893853458032,-11.898026740354661,-15.33751101886276,-27.206613252146454
-11.146543341938877,-4.753735361763854,-13.577642612979254,-10.063839644465942,-15.72895096110081,-9.748118066805027,-13.577642612979254,-11.567290987985288,-15.72895096110081,-16.57227957599091,-35.495232270767715,-14.674876144005268
-9.573337394549391,-11.66103916830339,-9.573337394549391,-9.549011640796277,-9.573337394549391,-5.203097517318445,-9.573337394549391,-11.854707898226096,-16.677301839957792,-12.41715622545457,-12.162987148933894,-21.81760315341223
-11.196809504337724,-5.575358383478235,-11.196809504337724,-9.412063302448491,-11.196809504337724,-13.051118859797528,-11.196809504337724,-14.478442160390719,-11.196809504337724,-13.987891650846143,-11.298630451230895,-15.020550803531707
-20.631014193077846,-6.265364967326738,-20.631014193077846,-8.21461112865337,-20.631014193077846,-6.233703901585608,-20.631014193077846,-7.021719475424842,-20.631014193077846,-10.130957325215151,-20.631014193077846,-12.830772266339274
-20.603536171261215,-16.23134425108659,-23.74349803552548,-20.19933847195086,-23.74349803552548,-10.433610849562902,-23.74349803552548,-17.605945857040112,-15.909335470603008,-14.095514969396039,-17.992777887209574,-17.020770000528508
-9.434751784785542,-3.018784372896331,-9.434751784785542,-3.791356364642721,-9.434751784785542,-14.612926074924284,-9.434751784785542,-10.879156133349703,-17.570587038254168,-14.726336433856318,-13.353891240699237,-17.85327674437924
-16.369852898930084,-21.219457851264686,-16.369852898930084,-13.787756723982724,-15.282856862674452,-13.099336361612192,-16.369852898930084,-9.564596301700453,-15.282856862674452,-13.710564866436577,-17.895179141992635,-17.194252776068097
-20.913856942779546,-13.869508253755855,-13.331553152669223,-9.044782315854114,-23.753603700120802,-12.810545932876972,-23.753603700120802,-18.384113754483227,-17.72921956465227,-18.997548131873753,-19.420174974378423,-14.435102868997681
-12.980148718203308,-4.3390702124014435,-12.980148718203308,-15.359206974684431,-12.980148718203308,-9.295974975132877,-12.980148718203308,-20.30133211638542,-11.897643201072714,-7.507717684496122,-15.100967147963335,-20.606041783564464
-10.011918957138427,-2.0994699063078754,-10.011918957138427,-4.567044339118496,-12.424473544735488,-14.831396443619244,-10.011918957138427,-18.201123515028968,-12.424473544735488,-32.82356937476791,-16.196728057738234,-11.803188244743378
-19.249291761581272,-7.880372791809118,-19.249291761581272,-13.670534135538725,-19.249291761581272,-17.759902327967325,-18.119802059230047,-24.355464601269915,-26.69279743132748,-13.315065389719736,-19.633698180772225,-17.21317181363516
-8.341735612244587,-11.969546377631259,-8.341735612244587,-15.10307791542071,-8.40367014939428,-11.203523858747587,-8.40367014939428,-14.090177761153196,-17.52492035574602,-15.257747482362305,-13.16631890399291,-16.433294209456612
-16.680319563128403,-13.216755991379722,-15.73939694295688,-23.81116215091266,-15.73939694295688,-9.441571748369457,-16.680319563128403,-5.7091654454113625,-15.73939694295688,-6.021132895753883,-15.73939694295688,-13.569883496627885
-12.327773352074535,-6.12497098480853,-12.327773352074535,-6.362538178287562,-21.175877855132256,-16.110755198343703,-12.327773352074535,-6.681599922925255,-21.175877855132256,-9.880174136058491,-14.799274017773513,-25.853946040884743
-9.106541137850249,-4.745757764441031,-9.106541137850249,-4.105933373582311,-9.106541137850249,-9.597032334725785,-9.106541137850249,-9.476724559836057,-20.248320741351375,-21.024290881134647,-25.1931172034811,-18.924026496491447
-12.059237559373564,-20.494214338223358,-12.059237559373564,-13.779930879939197,-12.059237559373564,-19.802077059780757,-12.059237559373564,-17.878700453940347,-12.059237559373564,-13.480658407794282,-17.548085242868957,-17.054213209012776
-21.078790563668854,-4.8897229823339,-21.078790563668854,-12.955584877629612,-21.078790563668854,-12.5406743356792,-21.078790563668854,-11.324733339114538,-19.230004006162776,-7.327004909689727,-18.633496836754983,-24.47910341238344
-10.550658204449013,-16.915384275840943,-10.550658204449013,-8.119493067196213,-10.550658204449013,-10.58357940761778,-18.14239170929204,-9.540225897459667,-14.857571618394456,-15.914211143554315,-31.64149763268823,-16.42026787854818
-14.362755801380043,-3.492594593757018,-14.362755801380043,-2.9215345699426,-12.064099376991098,-24.889227855385556,-12.064099376991098,-17.0612245257461,-12.051918512453476,-15.830791288018563,-10.499871392003381,-15.837847669556762
-8.402654179959368,-6.699772626966693,-8.402654179959368,-22.37121490152106,-13.614773378348406,-17.21919285127781,-13.614773378348406,-17.003688535400897,-15.718405527305144,-16.524476450332287,-15.718405527305144,-18.811519018373055
-0.7031953771910802,-17.812636011036417,-10.556820815537666,-13.05154211564206,-10.556820815537666,-11.479331329982994,-10.556820815537666,-13.971739874838516,-10.556820815537666,-28.819643393174772,-14.964828362263763,-17.47122902261502
-36.66374747937375,-6.195154033926268,-14.774541432501277,-16.14526702402266,-14.774541432501277,-9.824448060580345,-14.774541432501277,-17.76562916104102,-14.774541432501277,-14.043243261654169,-21.215814136283896,-11.029350281892922
-17.435508608516585,-17.030546166770726,-17.435508608516585,-6.051119332243874,-13.857480390187927,-9.70660164656212,-17.435508608516585,-12.717698254524837,-13.857480390187927,-17.195347697404003,-28.037288766333507,-18.262540159654044
-6.184826281880978,-11.263145166939534,-17.037213302229787,-14.72279684426992,-17.037213302229787,-15.962937364179748,-17.037213302229787,-10.916444175459105,-17.037213302229787,-11.812665187014401,-26.462076511436393,-24.921411075354687
-10.947745517684009,-10.388731589338036,-22.847171458899776,-11.289531798375771,-22.847171458899776,-20.01996040439638,-22.847171458899776,-19.659131069862475,-22.847171458899776,-16.170896668367327,-23.411797611536276,-19.8460071192687
-20.085864945708764,-13.066864317735282,-20.085864945708764,-7.1241059767806565,-20.085864945708764,-8.963762885736786,-20.085864945708764,-14.58584715649214,-20.085864945708764,-18.106129956489035,-21.91386640686857,-14.124437956087094
-16.110093941521757,-14.707469317737964,-10.402132384647429,-17.43833844560777,-10.402132384647429,-8.795329002977443,-10.402132384647429,-6.38799298578757,-11.290987919984797,-18.2030653400042,-20.230967762555878,-22.18026991055831
-12.277770965975268,-6.945908491060548,-12.277770965975268,-7.242604299352954,-24.397168839379873,-14.672998798188733,-12.277770965975268,-18.531797665789064,-37.66615573574213,-19.0389112209854,-24.110319523040786,-16.353934379914552
-15.355774604677148,-8.934799810943643,-15.355774604677148,-6.10286613745796,-15.355774604677148,-14.060637858629734,-13.415148677590734,-8.034030750459245,-25.682433742786827,-17.545228570404966,-16.849755709357964,-13.411356196655177
-13.661400666499501,-3.0641710417966332,-13.661400666499501,-25.401989583201715,-18.577392851628165,-17.69381893603399,-13.661400666499501,-13.785233241690037,-18.577392851628165,-8.937834011778428,-17.79569359470828,-14.753380016897303
-14.078464336443036,-13.687385091005329,-14.078464336443036,-14.66573939346587,-22.934102840910032,-12.400360708341303,-14.078464336443036,-17.658616617116362,-22.934102840910032,-16.825143345238274,-22.934102840910032,-19.10608654372733
-11.327905026925988,-4.580200088345957,-11.327905026925988,-4.674935970861968,-11.327905026925988,-17.151448640265126,-11.327905026925988,-7.434349344581866,-24.885032057952024,-17.26376343726024,-29.574738961117003,-21.20171859834514
